PERIOD,ID,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8,V_9,V_10,V_11,V_12,V_13,V_14,V_15,V_16,V_17,V_18,V_19,V_20,V_21,V_22,V_23,V_24,V_25,V_26,V_27,V_28,V_29,V_30,V_31,V_32,V_33,V_34,V_35,V_36,V_37,V_38,V_39,V_40,V_41,V_42,V_43
1,1,27.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,27.0,2.0,63.48,230.43,226.18,3.92,0.0,0.0,0.33,0.0,0.0,0.0,0.0,92.77,82.12,10.65,0.0,0.0,117.0,112.0,2.0,,35.0,30.0,,0.0,0.0,45.53,1.055,0.0,0.0,45.53,0.0,0.0
2,1,19.0,0.0,,1.0,1.0,0.0,1.0,0.0,,19.0,2.0,,134.75,132.03,2.03,0.0,0.0,0.69,1.0,0.0,0.0,0.0,162.48,162.48,0.0,0.0,,54.0,48.0,2.0,0.0,44.0,44.0,0.0,0.0,0.0,48.0,,,0.0,48.0,0.0,0.0
3,1,22.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,22.0,1.0,21.98,159.08,158.08,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,180.9,180.9,0.0,0.0,0.0,39.0,38.0,1.0,0.0,33.0,33.0,0.0,0.0,,46.59,0.0,0.0,0.0,46.59,0.0,0.0
1,2,,,0.0,1.0,1.0,,0.0,,0.0,,4.0,2.2,175.97,164.92,11.0,0.0,0.0,0.05,,0.0,0.0,0.0,281.68,259.63,22.05,,0.0,109.0,103.0,4.0,0.0,152.0,143.0,9.0,0.0,0.0,157.5,3.3075,0.0,0.0,157.5,0.0,0.0
2,2,28.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,28.0,8.0,73.93,367.2,339.73,27.47,0.0,0.0,,0.0,0.0,0.0,0.0,504.13,479.53,24.6,0.0,0.0,233.0,222.0,11.0,0.0,288.0,279.0,,0.0,0.0,157.5,3.64,0.0,0.0,157.5,0.0,0.0
3,2,27.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,26.0,7.0,9.93,232.07,207.2,23.92,0.0,0.0,0.95,0.0,,0.0,0.0,,246.45,5.47,0.0,0.0,132.0,119.0,,0.0,154.0,149.0,5.0,0.0,0.0,,0.82,,0.0,157.5,,0.0
1,3,26.0,18.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,26.0,15.0,34.25,344.88,312.52,32.37,0.0,0.0,-0.01,2.0,2.0,0.0,2730.788282,327.13,311.9,15.22,0.02,0.0,155.0,132.0,23.0,0.0,,104.0,12.0,1.0,0.0,191.0,2.24793237166667,17.0,2637.616991,191.0,4.0,0.432804
2,3,26.0,19.0,5.0,1.0,1.0,0.0,1.0,1.0,1.0,26.0,11.0,28.9,454.83,431.63,18.35,0.0,0.0,4.85,8.0,2.0,0.0,2407.532287,558.13,510.22,47.92,0.0,0.0,195.0,176.0,18.0,0.0,,163.0,16.0,0.0,0.0,,7.165,18.0,2262.1644149999997,237.94,0.0,0.0
3,3,28.0,23.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,28.0,13.0,27.37,553.07,461.53,48.55,0.0,0.0,,3.0,0.0,0.0,1865.875525,541.07,505.55,35.52,0.0,0.0,208.0,,20.0,0.0,196.0,181.0,15.0,0.0,,289.47,192.389279998375,22.0,1657.20002,289.47,2.0,39.613288
1,4,28.0,30.0,,1.0,1.0,,1.0,1.0,,24.0,13.0,,457.2,370.17,86.6,0.0,0.0,0.43,23.0,1.0,0.0,,343.5,,25.63,0.02,0.0,133.0,94.0,,0.0,102.0,81.0,20.0,,0.0,95.0,3.91793237166667,30.0,7128.643095,95.0,0.0,0.0
2,4,19.0,20.0,1.0,1.0,1.0,0.0,1.0,1.0,,18.0,5.0,136.57,332.97,325.93,6.22,0.0,0.0,0.82,4.0,0.0,0.0,7533.587208,75.27,69.9,5.37,0.0,0.0,70.0,60.0,6.0,0.0,37.0,29.0,8.0,0.0,0.0,95.0,0.6825,20.0,7394.2305719999995,95.0,0.0,0.0
3,4,17.0,19.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,17.0,4.0,101.67,375.37,370.08,5.25,0.0,0.0,0.04,0.0,0.0,0.0,7270.361655,195.2,194.1,1.1,,0.0,52.0,,5.0,0.0,39.0,38.0,1.0,,0.0,95.0,0.1675,19.0,7177.092433,95.0,0.0,0.0
1,5,28.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,28.0,0.0,50.13,174.07,168.3,0.0,,0.0,5.77,0.0,0.0,0.0,0.0,224.47,224.47,,0.0,0.0,122.0,,,0.0,124.0,124.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,55.0,0.0,0.0
2,5,25.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,25.0,0.0,71.05,222.78,221.68,0.0,0.0,0.0,1.1,,0.0,,0.0,,152.67,1.53,0.0,0.0,84.0,83.0,0.0,0.0,74.0,72.0,2.0,0.0,0.0,,0.2325,0.0,0.0,62.5,0.0,0.0
3,5,30.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,,1.0,36.82,162.13,156.15,2.13,0.0,0.0,3.85,,0.0,,0.0,212.78,211.6,,0.0,0.0,116.0,90.0,1.0,0.0,105.0,104.0,1.0,0.0,0.0,60.0,0.583333333333333,0.0,0.0,60.0,,0.0
1,6,14.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,2.68,23.8,23.8,0.0,0.0,0.0,0.0,2.0,4.0,,0.0,76.53,58.07,,0.0,0.0,20.0,20.0,0.0,0.0,52.0,,10.0,0.0,0.0,35.5,2.8475,0.0,0.0,35.5,0.0,0.0
2,6,19.0,0.0,3.0,1.0,,0.0,1.0,,0.0,18.0,2.0,20.55,55.03,50.38,4.63,0.0,0.0,0.02,10.0,0.0,0.0,0.0,102.37,94.87,7.5,0.0,0.0,40.0,36.0,3.0,,43.0,35.0,8.0,0.0,0.0,72.47,1.2275,0.0,0.0,72.47,0.0,0.0
3,6,14.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,1.0,4.02,38.43,37.22,0.95,0.0,0.0,0.26,,0.0,0.0,0.0,210.17,190.93,19.23,0.0,,24.0,22.0,1.0,0.0,40.0,31.0,9.0,0.0,0.0,36.0,3.0075,0.0,0.0,36.0,0.0,0.0
1,7,,8.0,0.0,1.0,1.0,0.0,,1.0,0.0,,2.0,133.98,,399.03,3.73,0.0,0.0,0.01,0.0,,,27.259424,352.55,345.28,2.12,5.02,0.0,105.0,103.0,2.0,0.0,,107.0,,1.0,0.0,59.53,19.8316857053333,8.0,,,0.0,0.0
2,7,25.0,12.0,0.0,1.0,1.0,0.0,,1.0,0.0,24.0,3.0,75.52,460.45,455.52,2.65,0.0,0.0,2.28,,0.0,,69.236171,,499.4,9.65,11.65,0.0,82.0,73.0,6.0,0.0,93.0,77.0,13.0,3.0,0.0,60.47,55.9272475847433,12.0,69.236171,60.47,0.0,0.0
3,7,27.0,15.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,27.0,0.0,32.48,337.25,335.8,,,0.0,0.45,0.0,0.0,0.0,286.551506,358.05,351.33,4.57,2.15,0.0,54.0,50.0,0.0,1.0,30.0,,1.0,2.0,0.0,70.0,,15.0,286.551506,70.0,0.0,0.0
1,8,26.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,2.0,183.63,455.02,449.62,3.18,0.0,0.0,2.22,0.0,0.0,0.0,0.001049,575.43,575.23,0.2,0.0,,,78.0,2.0,0.0,88.0,87.0,1.0,0.0,0.0,2.0,0.0325,0.0,0.0,2.0,0.0,0.0
2,8,28.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,26.0,3.0,86.6,404.2,390.95,9.77,,0.0,3.48,0.0,0.0,0.0,0.0,476.42,472.47,3.95,0.0,0.0,83.0,64.0,5.0,0.0,71.0,,2.0,0.0,0.0,34.0,0.595,0.0,0.0,34.0,0.0,0.0
